idIntencionVoto,idFormGeneral,tipoIntencionVoto,fechaEncuesta,pregunta,siNoExplicacion,fechaAlta,fechaEdicion,usuarioCrea,usuarioEdicion,activo,idIntencionVotoRegistro,candidato,partido,resultado,fecha,casaEncuestadora,fechaInicio,fechaFin
15,15,Candidato + Partido,2021/05/10 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 13:54:35,NA,admin,NA,1,65,AMLO,MORENA,29,2021-05-10,GEA ISA,2021-04-28,2021-04-30
15,15,Candidato + Partido,2021/05/10 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 13:54:35,NA,admin,NA,1,66,ANAYA,PAN,24,2021-05-10,GEA ISA,2021-04-28,2021-04-30
15,15,Candidato + Partido,2021/05/10 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 13:54:35,NA,admin,NA,1,67,MEADE,PRI,20,2021-05-10,GEA ISA,2021-04-28,2021-04-30
16,16,Candidato + Partido,2021/05/14 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 13:57:36,NA,admin,NA,1,70,AMLO,MORENA,46,2021-05-14,El Financiero,2021-04-26,2021-05-02
16,16,Candidato + Partido,2021/05/14 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 13:57:36,NA,admin,NA,1,71,ANAYA,PAN,26,2021-05-14,El Financiero,2021-04-26,2021-05-02
16,16,Candidato + Partido,2021/05/14 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 13:57:36,NA,admin,NA,1,72,MEADE,PRI,20,2021-05-14,El Financiero,2021-04-26,2021-05-02
17,17,Candidato + Partido,2021/05/17 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 14:06:43,NA,admin,NA,1,75,AMLO,MORENA,43,2021-05-17,IPSOS,2021-05-11,2021-05-15
17,17,Candidato + Partido,2021/05/17 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 14:06:43,NA,admin,NA,1,76,ANAYA,PAN,24,2021-05-17,IPSOS,2021-05-11,2021-05-15
17,17,Candidato + Partido,2021/05/17 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 14:06:43,NA,admin,NA,1,77,MEADE,PRI,16,2021-05-17,IPSOS,2021-05-11,2021-05-15
18,18,Candidato + Partido,2021/05/26 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 14:15:28,NA,admin,NA,1,80,AMLO,MORENA,49,2021-05-26,Eje central,2021-05-21,2021-05-22
18,18,Candidato + Partido,2021/05/26 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 14:15:28,NA,admin,NA,1,81,ANAYA,PAN,26,2021-05-26,Eje central,2021-05-21,2021-05-22
18,18,Candidato + Partido,2021/05/26 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 14:15:28,NA,admin,NA,1,82,MEADE,PRI,21,2021-05-26,Eje central,2021-05-21,2021-05-22
19,19,Candidato + Partido,2021/05/30 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 14:31:45,NA,admin,NA,1,84,AMLO,MORENA,32,2021-05-30,Pop Group,2021-05-23,2021-05-28
19,19,Candidato + Partido,2021/05/30 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 14:31:45,NA,admin,NA,1,85,ANAYA,PAN,24,2021-05-30,Pop Group,2021-05-23,2021-05-28
19,19,Candidato + Partido,2021/05/30 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 14:31:45,NA,admin,NA,1,86,MEADE,PRI,26,2021-05-30,Pop Group,2021-05-23,2021-05-28
25,25,Candidato + Partido,2021/04/14 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:31:09,NA,admin,NA,1,109,AMLO,MORENA,35.45,2021-04-14,Massive Caller,2021-04-10,2021-04-13
25,25,Candidato + Partido,2021/04/14 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:31:09,NA,admin,NA,1,110,ANAYA,PAN,27.35,2021-04-14,Massive Caller,2021-04-10,2021-04-13
25,25,Candidato + Partido,2021/04/14 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:31:09,NA,admin,NA,1,111,MEADE,PRI,13.45,2021-04-14,Massive Caller,2021-04-10,2021-04-13
