candidato,dia,color,media,ic_025,ic_975,fecha,mediatt,ic_025tt,ic_975tt
MORENA,74,#751438,43.83332850878536,40.08286104672363,47.58315090737556,2021-06-03,44,40.1,47.6
MORENA,75,#751438,43.841360345564745,39.978528889250384,47.96639126786882,2021-06-04,44,40,48
MORENA,76,#751438,43.822991145984936,39.72284240566059,48.22146328749574,2021-06-05,44,39.7,48.2
MORENA,77,#751438,43.842886711461034,39.64093338272796,48.17652312468175,2021-06-06,44,39.6,48.2
PAN,1,#17418A,32.44074973775716,31.539884276085406,33.68255753008722,2021-03-22,32,31.5,33.7
PAN,2,#17418A,31.595164725420073,30.22170292455036,33.312320011204,2021-03-23,32,30.2,33.3
PAN,3,#17418A,30.879403759970796,29.30375283886086,32.57442492091019,2021-03-24,31,29.3,32.6
PAN,4,#17418A,30.20794264650668,28.8741370120914,31.59194044612075,2021-03-25,30,28.9,31.6
PAN,5,#17418A,29.46355968300208,28.245882231537472,30.904083115463628,2021-03-26,29,28.2,30.9
PAN,6,#17418A,27.95237898741866,26.800934846964115,29.290575627576526,2021-03-27,28,26.8,29.3
PAN,7,#17418A,25.85118853810668,24.788178129053104,26.909743848012287,2021-03-28,26,24.8,26.9
PAN,8,#17418A,24.525707895193516,23.19004739152518,25.523807248227147,2021-03-29,25,23.2,25.5
PAN,9,#17418A,23.968717283658282,22.824736451110883,24.889240235580647,2021-03-30,24,22.8,24.9
PAN,10,#17418A,24.153303859522502,23.173055308463503,25.193079191558816,2021-03-31,24,23.2,25.2
PAN,11,#17418A,24.9882184885589,23.617226215767293,26.04650285441952,2021-04-01,25,23.6,26
PAN,12,#17418A,26.794843537284358,25.67630007297653,27.89663369550658,2021-04-02,27,25.7,27.9
PAN,13,#17418A,27.09847598115745,25.813894870536362,28.585921145608097,2021-04-03,27,25.8,28.6
PAN,14,#17418A,27.610522017964527,26.292208159307922,29.04038803920903,2021-04-04,28,26.3,29
PAN,15,#17418A,28.218705976574306,27.225049240951666,29.570708097889952,2021-04-05,28,27.2,29.6
PAN,16,#17418A,28.289828431725045,26.954938493826525,29.812995159663853,2021-04-06,28,27,29.8
PAN,17,#17418A,27.748099537071813,26.501285620338518,29.01385357713248,2021-04-07,28,26.5,29
PAN,18,#17418A,27.287371507827086,25.78441922910463,28.537297147045543,2021-04-08,27,25.8,28.5
PAN,19,#17418A,26.783904444225502,25.438960787324934,28.097166793330697,2021-04-09,27,25.4,28.1
PAN,20,#17418A,26.32573718994268,24.921303010114435,27.51169157010058,2021-04-10,26,24.9,27.5
PAN,21,#17418A,25.782974177579572,24.589613661583073,27.088254171818683,2021-04-11,26,24.6,27.1
PAN,22,#17418A,25.30556838773503,24.213103762170913,26.337853357337572,2021-04-12,25,24.2,26.3
PAN,23,#17418A,24.247187914403156,23.359766140033855,25.18248318884036,2021-04-13,24,23.4,25.2
PAN,24,#17418A,24.071330366416205,23.37717336858069,24.81191875332594,2021-04-14,24,23.4,24.8
PAN,25,#17418A,24.442163993381723,23.318085344867736,25.215113974223435,2021-04-15,24,23.3,25.2
PAN,26,#17418A,25.546160792855137,23.872777922359266,26.80300355349902,2021-04-16,26,23.9,26.8
PAN,27,#17418A,25.790876058748886,23.987439033122975,27.394291689930938,2021-04-17,26,24,27.4
PAN,28,#17418A,26.123814880310437,24.101295849997996,27.82263703929263,2021-04-18,26,24.1,27.8
PAN,29,#17418A,26.54260846033405,24.136489376985214,28.56328720219078,2021-04-19,27,24.1,28.6
PAN,30,#17418A,26.836107378649928,24.521755960700393,28.936075791692684,2021-04-20,27,24.5,28.9
PAN,31,#17418A,27.055176026018025,24.881880601558983,29.300310283832907,2021-04-21,27,24.9,29.3
PAN,32,#17418A,27.16195003600408,25.516621624376313,28.853040777568456,2021-04-22,27,25.5,28.9
PAN,33,#17418A,27.347658740110298,25.862220121254136,28.924923716688493,2021-04-23,27,25.9,28.9
PAN,34,#17418A,27.478717929537126,26.16311489411047,28.789291274507,2021-04-24,27,26.2,28.8
PAN,35,#17418A,27.515617110130442,26.45335309422274,28.378179402852627,2021-04-25,28,26.5,28.4
PAN,36,#17418A,25.839389424372307,24.6957076396959,26.91657108128264,2021-04-26,26,24.7,26.9
PAN,37,#17418A,27.409919298350367,26.19236595720762,28.59973003126844,2021-04-27,27,26.2,28.6
PAN,38,#17418A,28.55884089311438,27.379126993963364,29.80848378425454,2021-04-28,29,27.4,29.8
PAN,39,#17418A,29.620289223783068,28.409893322409417,30.823846963232842,2021-04-29,30,28.4,30.8
PAN,40,#17418A,30.53084883640177,29.02323089045456,31.991040936757177,2021-04-30,31,29,32
PAN,41,#17418A,31.09818972435738,29.651099125633802,32.51595926427037,2021-05-01,31,29.7,32.5
PAN,42,#17418A,31.11714400910051,29.71674634807172,32.71663032090132,2021-05-02,31,29.7,32.7
PAN,43,#17418A,31.329396939260374,30.260204602046848,32.620951642234566,2021-05-03,31,30.3,32.6
PAN,44,#17418A,31.905919352814678,30.483383129637126,33.220693804186766,2021-05-04,32,30.5,33.2
PAN,45,#17418A,32.3776467616361,30.980595629470862,33.76831371936976,2021-05-05,32,31,33.8
PAN,46,#17418A,32.57526700808832,31.34808732552679,33.73925634444747,2021-05-06,33,31.3,33.7
PAN,47,#17418A,32.61152283363683,31.690077467391337,33.547004064304765,2021-05-07,33,31.7,33.5
PAN,48,#17418A,31.07062059102904,30.04119562480212,32.24464354157424,2021-05-08,31,30,32.2
PAN,49,#17418A,30.113830791743556,28.95304456187755,31.144154781570098,2021-05-09,30,29,31.1
PAN,50,#17418A,30.764124833870838,29.637655522801566,31.976399658078027,2021-05-10,31,29.6,32
